Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;272;•;;0;0
1;262420;•;;0;0
1;393494;•;;0;0
1;273;•;;0;0
1;131347;•;;0;0
1;262421;•;;0;0
1;131344;•;;0;0
1;262422;•;;0;0
1;393492;•;;0;0
1;275;•;;0;0
1;131345;•;;0;0
1;262423;•;;0;0
1;393493;•;;0;0
1;276;•;;0;0
1;262416;•;;0;0
1;393490;•;;0;0
1;131351;•;;0;0
1;262417;•;;0;0
1;393491;•;;0;0
1;278;•;;0;0
1;131348;•;;0;0
1;262418;•;;0;0
1;131349;•;;0;0
1;393489;•;;0;0
1;131354;•;;0;0
1;262428;•;;0;0
1;131355;•;;0;0
1;262430;•;;0;0
1;393500;•;;0;0
1;283;•;;0;0
1;131353;•;;0;0
1;262431;•;;0;0
1;393501;•;;0;0
1;131358;•;;0;0
1;262424;•;;0;0
1;262425;•;;0;0
1;393499;•;;0;0
1;286;p;7738;4;8
1;262426;•;;0;0
1;393496;•;;0;0
1;131357;•;;0;0
1;262427;•;;0;0
1;288;•;;0;0
1;131362;•;;0;0
1;262436;•;;0;0
1;393510;•;;0;0
1;289;•;;0;0
1;131363;•;;0;0
1;262437;•;;0;0
1;131360;•;;0;0
1;262438;•;;0;0
1;393508;•;;0;0
1;291;•;;0;0
1;262439;•;;0;0
1;292;•;;0;0
1;131366;•;;0;0
1;262432;•;;0;0
1;393506;•;;0;0
1;293;•;;0;0
1;131367;•;;0;0
1;262433;•;;0;0
1;393507;•;;0;0
1;131364;•;;0;0
1;262434;•;;0;0
1;131365;•;;0;0
1;262435;•;;0;0
1;393505;•;;0;0
1;262444;•;;0;0
1;393518;•;;0;0
1;297;•;;0;0
1;131371;•;;0;0
1;262445;•;;0;0
1;131368;•;;0;0
1;262446;•;;0;0
1;393516;•;;0;0
1;299;•;;0;0
1;131369;•;;0;0
1;262447;•;;0;0
1;300;•;;0;0
1;131374;•;;0;0
1;393514;•;;0;0
1;131375;•;;0;0
1;262441;•;;0;0
1;393515;•;;0;0
1;302;•;;0;0
1;131372;•;;0;0
1;262442;•;;0;0
1;393512;•;;0;0
1;131373;•;;0;0
1;393513;•;;0;0
1;131378;•;;0;0
1;262452;•;;0;0
1;131379;•;;0;0
1;262453;•;;0;0
1;393527;•;;0;0
1;306;•;;0;0
1;131376;•;;0;0
1;262454;•;;0;0
1;393524;•;;0;0
1;307;•;;0;0
1;262455;•;;0;0
1;308;•;;0;0
1;131382;•;;0;0
1;262448;•;;0;0
1;393522;•;;0;0
1;309;•;;0;0
1;131383;•;;0;0
1;262449;•;;0;0
1;393523;•;;0;0
1;310;•;;0;0
1;131380;•;;0;0
1;262450;•;;0;0
1;393520;•;;0;0
1;311;•;;0;0
1;131381;•;;0;0
1;262451;•;;0;0
1;393521;•;;0;0
1;312;•;;0;0
1;131386;•;;0;0
1;262460;•;;0;0
1;313;•;;0;0
1;131387;•;;0;0
1;393535;•;;0;0
1;262462;•;;0;0
1;131385;•;;0;0
1;262463;•;;0;0
1;316;•;;0;0
1;131390;•;;0;0
1;262456;•;;0;0
1;317;•;;0;0
1;131391;•;;0;0
1;262457;•;;0;0
1;393531;•;;0;0
1;131388;•;;0;0
1;262458;•;;0;0
1;319;•;;0;0
1;131389;•;;0;0
1;262459;•;;0;0
1;393529;•;;0;0
1;320;•;;0;0
1;131394;•;;0;0
1;262468;•;;0;0
1;393542;•;;0;0
1;321;•;;0;0
1;262469;•;;0;0
1;393543;•;;0;0
1;322;•;;0;0
1;131392;•;;0;0
1;262470;•;;0;0
1;323;•;;0;0
1;324;•;;0;0
1;131398;•;;0;0
1;262464;•;;0;0
1;393538;•;;0;0
1;325;•;;0;0
1;262465;•;;0;0
1;393539;•;;0;0
1;326;•;;0;0
1;131396;•;;0;0
1;262466;•;;0;0
1;393536;•;;0;0
1;327;•;;0;0
1;131397;•;;0;0
