 Time  | Event  |   Node   | Routing Information
   4   | LEARN  |  397440  | • via 3356
   4   | LEARN  |  397432  | • via 3356
   4   | LEARN  |  397425  | • via 3356
   4   | LEARN  |  397423  | • via 3356
   4   | LEARN  |  397415  | • via 3356
   4   | LEARN  |  397412  | • via 3356
   4   | LEARN  |  397373  | • via 3356
   4   | LEARN  |  397354  | • via 3356
   4   | LEARN  |  397353  | • via 3356
   4   | LEARN  |  397346  | • via 3356
   4   | LEARN  |  397336  | • via 3356
   4   | LEARN  |  397330  | • via 3356
   4   | LEARN  |  397328  | • via 3356
   4   | LEARN  |  397314  | • via 3356
   4   | LEARN  |  397307  | • via 3356
   4   | LEARN  |  397290  | • via 3356
   4   | LEARN  |  397281  | • via 3356
   4   | LEARN  |  397274  | • via 3356
   4   | LEARN  |  397269  | • via 3356
   4   | LEARN  |  397258  | • via 3356
   4   | LEARN  |  397192  | • via 3356
   4   | LEARN  |  397187  | • via 3356
   4   | LEARN  |  397182  | • via 3356
   4   | LEARN  |  397174  | • via 3356
   4   | LEARN  |  397158  | • via 3356
   4   | LEARN  |  397157  | • via 3356
   4   | LEARN  |  397154  | • via 3356
   4   | LEARN  |  397151  | • via 3356
   4   | LEARN  |  397146  | • via 3356
   4   | LEARN  |  397107  | • via 3356
   4   | LEARN  |  397105  | • via 3356
   4   | LEARN  |  397090  | • via 3356
   4   | LEARN  |  397086  | • via 3356
   4   | LEARN  |  397065  | • via 3356
   4   | LEARN  |  397040  | • via 3356
   4   | LEARN  |  397038  | • via 3356
   4   | LEARN  |  397007  | • via 3356
   4   | LEARN  |  396998  | • via 3356
   4   | LEARN  |  396991  | • via 3356
   4   | LEARN  |  396986  | • via 3356
   4   | LEARN  |  396958  | • via 3356
   4   | LEARN  |  396957  | • via 3356
   4   | LEARN  |  396955  | • via 3356
   4   | LEARN  |  396941  | • via 3356
   4   | LEARN  |  396930  | • via 3356
   4   | LEARN  |  396922  | • via 3356
   4   | LEARN  |  396915  | • via 3356
   4   | LEARN  |  396894  | • via 3356
   4   | LEARN  |  396890  | • via 3356
   4   | LEARN  |  396886  | • via 3356
   4   | LEARN  |  396867  | • via 3356
   4   | LEARN  |  396858  | • via 3356
   4   | LEARN  |  396854  | • via 3356
   4   | LEARN  |  396835  | • via 3356
   4   | LEARN  |  396828  | • via 3356
   4   | LEARN  |  396506  | • via 3356
   4   | LEARN  |  396482  | • via 3356
   4   | LEARN  |  396458  | • via 3356
   4   | LEARN  |  396455  | • via 3356
   4   | LEARN  |  396444  | • via 3356
   4   | LEARN  |  396439  | • via 3356
   4   | LEARN  |  396437  | • via 3356
   4   | LEARN  |  396431  | • via 3356
   4   | LEARN  |  396424  | • via 3356
   4   | LEARN  |  396421  | • via 3356
   4   | LEARN  |  396408  | • via 3356
   4   | LEARN  |  396403  | • via 3356
   4   | LEARN  |  396395  | • via 3356
   4   | LEARN  |  396379  | • via 3356
   4   | LEARN  |  396361  | • via 3356
   4   | LEARN  |  396352  | • via 3356
   4   | LEARN  |  396335  | • via 3356
   4   | LEARN  |  396323  | • via 3356
   4   | LEARN  |  396321  | • via 3356
   4   | LEARN  |  16552   | • via 37628
   4   | LEARN  |  396300  | • via 3356
   4   | LEARN  |  396299  | • via 3356
   4   | LEARN  |  396292  | • via 3356
   4   | LEARN  |  396291  | • via 3356
   4   | LEARN  |  396290  | • via 3356
   4   | LEARN  |  396272  | • via 3356
   4   | LEARN  |  396269  | • via 3356
   4   | LEARN  |  396268  | • via 3356
   4   | LEARN  |  396267  | • via 3356
   4   | LEARN  |  396258  | • via 3356
   4   | LEARN  |  396254  | • via 3356
   4   | LEARN  |  396253  | • via 3356
   4   | LEARN  |  396250  | • via 3356
   4   | LEARN  |  396249  | • via 3356
   4   | LEARN  |  396243  | • via 3356
   4   | LEARN  |  396238  | • via 3356
   4   | LEARN  |  396233  | • via 3356
   4   | LEARN  |  396203  | • via 3356
   4   | LEARN  |  396181  | • via 3356
   4   | LEARN  |  396176  | • via 3356
   4   | LEARN  |  396167  | • via 3356
   4   | LEARN  |  396162  | • via 3356
   4   | LEARN  |  396157  | • via 3356
   4   | LEARN  |  396138  | • via 3356
   4   | LEARN  |  396137  | • via 3356
   4   | LEARN  |  396135  | • via 3356
   4   | LEARN  |  396115  | • via 3356
   4   | LEARN  |  396109  | • via 3356
   4   | LEARN  |  396106  | • via 3356
   4   | LEARN  |  396104  | • via 3356
   4   | LEARN  |  396102  | • via 3356
   4   | LEARN  |  396071  | • via 3356
   4   | LEARN  |  396065  | • via 3356
   4   | LEARN  |  396044  | • via 3356
   4   | LEARN  |  396029  | • via 3356
   4   | LEARN  |  396018  | • via 3356
   4   | LEARN  |  396016  | • via 3356
   4   | LEARN  |  396013  | • via 3356
   4   | LEARN  |  396003  | • via 3356
   4   | LEARN  |  396002  | • via 3356
   4   | LEARN  |  396000  | • via 3356
   4   | LEARN  |  395982  | • via 3356
   4   | LEARN  |  395972  | • via 3356
   4   | LEARN  |  395955  | • via 3356
   4   | LEARN  |  395944  | • via 3356
   4   | LEARN  |  395942  | • via 3356
   4   | LEARN  |  395928  | • via 3356
   4   | LEARN  |  395922  | • via 3356
   4   | LEARN  |  395898  | • via 3356
   4   | LEARN  |  395891  | • via 3356
   4   | LEARN  |  395890  | • via 3356
   4   | LEARN  |  395877  | • via 3356
   4   | LEARN  |  395872  | • via 3356
   4   | LEARN  |  395867  | • via 3356
   4   | LEARN  |  395856  | • via 3356
   4   | LEARN  |  395831  | • via 3356
   4   | LEARN  |  395818  | • via 3356
   4   | LEARN  |  395789  | • via 3356
   4   | LEARN  |  395788  | • via 3356
   4   | LEARN  |  395762  | • via 3356
   4   | LEARN  |  395760  | • via 3356
   4   | LEARN  |  395753  | • via 3356
   4   | LEARN  |  30844   | • via 37628
   4   | LEARN  |   1257   | • via 3356
   4   | LEARN  |  395744  | • via 3356
   4   | LEARN  |  395737  | • via 3356
   4   | LEARN  |  395733  | • via 3356
   4   | LEARN  |  395726  | • via 3356
   4   | LEARN  |  395711  | • via 3356
   4   | LEARN  |  395701  | • via 3356
   4   | LEARN  |  395686  | • via 3356
   4   | LEARN  |  395683  | • via 3356
   4   | LEARN  |  395671  | • via 3356
   4   | LEARN  |  395666  | • via 3356
   4   | LEARN  |  395662  | • via 3356
   4   | LEARN  |  395659  | • via 3356
   4   | LEARN  |  395658  | • via 3356
   4   | LEARN  |  395643  | • via 3356
   4   | LEARN  |  395634  | • via 3356
   4   | LEARN  |  395632  | • via 3356
   4   | LEARN  |  395630  | • via 3356
   4   | LEARN  |  395627  | • via 3356
   4   | LEARN  |  395620  | • via 3356
   4   | LEARN  |  395608  | • via 3356
   4   | LEARN  |  395598  | • via 3356
   4   | LEARN  |  395592  | • via 3356
   4   | LEARN  |  395584  | • via 3356
   4   | LEARN  |  395563  | • via 3356
   4   | LEARN  |  395551  | • via 3356
   4   | LEARN  |  395547  | • via 3356
   4   | LEARN  |  395528  | • via 3356
   4   | LEARN  |  395516  | • via 3356
   4   | LEARN  |  395508  | • via 3356
   4   | LEARN  |  395505  | • via 3356
   4   | LEARN  |  395504  | • via 3356
   4   | LEARN  |  395488  | • via 3356
   4   | LEARN  |  395487  | • via 3356
   4   | LEARN  |  395483  | • via 3356
   4   | LEARN  |  395473  | • via 3356
   4   | LEARN  |  395463  | • via 3356
